titulo,texto
Chip não funciona,Me ligaram ofrecendo portabilidade. Mas enviaram um chip que não funciona. Ja fiz tudo o que eu podia para obter rede porém o chip nao funciona. Absurdo. Vou voltar para Tim. Fazer o que né?!
QUERO CANCELAR DUAS LINHAS DO MEU PLANO E NÃO CONSIGO,"Tentei cancelar duas linhas pelo telefone na Claro e não consegui, ligação péssima, não entendem o que agente fala etc. Então me dirigi a loja do Shopping Morumbi para atendimento presencial, recebi dois registros de protocolo dia 27/10/20 que em cinco dias úteis iriam me ligar para cancelar, não ligaram e as linhas continuam funcionando e eles cobrando com certeza.
Finalizando aqui o cliente nessa empresa não é respeitado e temos que tentar pelos meios que um cidadão comum de bem consiga ser levado em conta nas suas necessidades. Acredito ser desgastante ter que ir a justiça para desligar duas linhas de celular, mas se necessário for iremos."
Não cumprimento do que foi acordado e sumiço de Protocolos e Gravações,"Meu nome é Italo Vinicius Mendes Ferreira. Sou o dono da linha. Há mais de ano trabalhamos diretamente com a prestadora Claro/NET fazendo uso da Internet e da linha telefônica. Inicialmente nosso plano abrangia 15MG de internet e ligações ilimitadas para qualquer operadora em todo território nacional, fixo ou celular, desde que acompanhado do prefixo 021 - isso ocorre porque trabalhamos com vendas diretas em todo território nacional, sendo necessário realizar ligações constantes. Na data de 05/09/2020 entramos em contato com a prestadora pedindo alteração da VELOCIDADE DE INTERNET (prot. 010204276570948) onde foi acordado o plano de 120MG de velocidade em banda larga sem alteração na telefonia que continuaria ilimitada para todo o Brasil com o uso do 021. Tendo sido formalizado a mudança e confiantes de que tudo que foi exposto e exigido de ambas as partes estava acertado, permanecemos com nosso trabalho normalmente. Até que fomos surpreendidos por algumas alterações indevidas em relação a cobrança de valores. Tivemos um atraso em nossa primeira fatura. No dia 26/10/2020 recebi em meu celular um aviso de que minha fatura, com vencimento no dia 15/10, estava em aberto e era no valor de R$ 97,73 - tenho a mensagem em meu celular e o print que comprovam isso. Então tive queda em minha velocidade de navegação e fiz uma ligação para pedir a regulação do sistema, quando descobri que o valor de minha fatura era de R$ 336,61 e que minha outra fatura já havia sido fechada e poderia também ser paga no valor de R$ 1236,73. Durante esse período eles sempre afirmaram enviar os protocolos das ligações em nosso E-mail; coisa que nunca aconteceu. Então entramos em contato novamente com a prestadora (prot. 01020436649393) onde pedimos a contestação dos valores cobrados com base no que foi acordado com o atendente na ligação do dia 05/09/2020. Eles alegaram, em primeiro lugar, que não havia sido feito acordo algum e que enviariam a ligação para nós, por e-mail para que pudéssemos ouvir e contestar, caso houvesse divergência (nunca enviaram a gravação). Na data de hoje, 09/11/2020, pelo período da manhã, entramos em contato com a Ouvidoria da prestadora que reconheceu que havia sido cometido um erro e que as faturas seriam corrigidas para o valor combinado de R$ 119,00 cumprindo o que foi tratado: ligações ilimitadas para todo o Brasil e banda larga de 120MG (prot. 010204345281970). Acreditando ter resolvido nosso problema, fomos surpreendidos no período noturno com nova ligação dizendo que não fariam mudanças nos valores de nossas faturas alegando que não fizemos uso do prefixo 021 que nos permitia ligações ilimitadas para todo o Brasil (prot. 010204345975961). Alegamos que era mentira, pois a mais de ano usamos os serviços da prestadora Claro/NET sempre fazendo uso do 021 e que, não seria agora, por mudarmos a velocidade de internet que iríamos para de usar o prefixo - não existe lógica nenhuma nisso. Afirmamos que nosso telefone guarda relações de chamadas efetuadas e na verificação todos possuíam o prefixo 021 (exceção das ligações locais para fixos que não aceitam o 021). Pedimos então os registros de todas as ligações que haviam sido feitas à prestadora durante este período para poder apresentar na Anatel e fomos surpreendidos ao afirmarem que os protocolos que nos passaram, nenhum existia gravação de conversa (registrado na ligação de prot. final 5961). Tudo que pedimos para apresentar na Anatel eles negaram ter conhecimento através dos protocolos fornecidos por eles e que afirmaram sequer existirem. Estamos nos sentindo ser extorquidos. Isso assemelha-se a [Editado pelo Reclame Aqui] de [Editado pelo Reclame Aqui]. Peço auxílio urgente e imediato da Anatel em ação a nosso favor para regularização do que foi acordado entre nós e a prestadora. Não queremos ação judicial, pois está visível que vários artigos do Código de Defesa do Consumidor são feridos aqui. Desejamos apenas a regularização de nossas contas para que possamos efetuar pagamento. A prestadora ainda nos informou que nosso serviço pode ser cortado a qualquer momento caso não seja efetuado pagamento - forma de forçar o pagamento, mas não fornece as gravações, sumiram os protocolos, ou seja, desapareceram com as provas contra ela (ao menos para nós). Logo só nos resta a intervenção da Anatel para operar em nosso favor e fazer o que é certo e o que é direito. Desde já agradeço a atenção e aguardo retorno de vocês. Ass: Italo Vinicius Mendes Ferreira CPF 704.127.071-87"
Estou Sendo Literalmente [Editado pelo Reclame Aqui] pela empresa Claro,"Passaram a descontar dos meus Créditos 1,49 todos os dias, sem minha autorização,sem meu concetimento, Um VERDADEIRO [Editado pelo Reclame Aqui], estou muito chateado, pois buricratizam tudo ,até para reclamar, Não fornecem Protocolos, NOS DEIXAM HORAS A ESPERA, e PROPOSITALMENTE A LIGAÇÃO CAI, Justamente para o Consumidor não retornar a chamada devido ao tempo de espera"
Mudança de Senhas do WI-FI Internet Residencial - 3 Reclamação e NÃO resolvem,"ANOTEM ! Esta é a TERCEIRA e ÚLTIMA vez que escrevo pra reclamar sobre a MESMA coisa não resolvida até agora. Caso não resolvido, vou cancelar minha assinatura e migrar para outra operadora. Pra cobrar a Claro (antiga NET) é ÁGIL mas pra atender são uma Tartaruga ! Quero alterar as senhas do meu Wi-Fi Residencial e a coisa não funciona ! Crio novas senhas (tanto para a banda de 2.4 Ghz como para a de 5Ghz) , elas são confirmadas e enviadas para o meu e-mail e quando eu penso em usá-las nada foi modificado, ou seja, automaticamente voltam para as antigas senhas. Da primeira vez vieram com uma conversa de 72 horas e nada foi resolvido. Na segunda vez o papo foi semelhante e agora, 09.11.2020 (22:17h) fiz mais uma tentativa e nada. Reclamação feita. Já não bastam os valores altos para INTERNET, nunca me enviaram UMA proposta de promoção e/ou desconto cortesia sequer, a velocidade de Upload é péssima e ainda mais esta. Quero isto resolvido com urgência. Sem mais e aguardando,
Marcus
09.11.2020"
cobrança indevida,"Nunca tive conta CLARO FIXO, e estou sendo cobrado uma dívida que não existe de R$86,30 datada de 20/10/2013. n. contrato: 01190414051. Atualmente existe uma proposta de acordo em aberto no SERASA CONSUMIDOR."
"É Claro que é ruim. Black [Editado pelo Reclame Aqui], Você paga 240mb de internet, o speedtest diz que vc recebe 120mb, mas na verdadevc recebe 40mb.","Internet com lentido, pago o pacote de 240mb, mas o speedtest diz que chega 120mb, e na verdade recebo 40mb. É um serviço muito ruim, Net e Claro se juntaram, mas as duas empresas juntas no valem por uma. Serviço muito ruim, no tem com quem falar, o app diz para desligar o modem para a velocidade voltar ao contratado, mas se vc desligar o modem, vc fica um dia sem internet. Péssimo negócio contratar a Claro, no dá prá ser mais Claro."
Não estão cumprindo c o contrato,Assinei contrato e agora estão cobrando outro valor a maisEntrei em contato com a empresa e me deram 3 dias p resolver e até agora nada
Ativação indevida de produto,"Ativaram um pacote pós pago na minha linha,quando tentei cancelar tinha fidelidade de um ano ou uma multa de 180.00reais a atendente cancelo para contestar o valor depois e junto cancelo meu chip quer dizer ativaram um plano no chip sem minha autorização,tenho que pagar multa e ainda cancelam meu chip 48horas pra reativar"
Cobrança de conta indevida,"Estou sendo cobrado da minha conta de celular Claro móvel de um boleto de 10/10/2019. Porém eu paguei este boleto na data de seu vencimento.
Já estou muito cansada de tanto ligar para o antendimento ao Cliente e ninguem resolver o problema. Enviei vários e-mails com o comprovante de pagamento da conta e nada tem melhorado. Agora eles estão dizendo que o boleto que eu tenho não é suficiente para provar o pagamento, é um absurdo o que diz porque o meu pagamento é pela internet banking do meu banco que eu tenho conta corrente.
Abri uma reclamação na OUVIDORIA DA CLARO e também não tive retorno. Protocolo: 2020922157412.

Preciso urgente da ajuda do reclame aqui para resolver este problema.
Segue abaixo alguns dos protocolos que eu recebi deles.

2020939362157

2020943259612

2020953513154.

Segue abaixo o e-mail que enviei com a minha indignação com o acontecimento.
""gostaria de deixar registrado a minha indignação pois o mês passado A claro me cortou a minha conta pelo mesmo motivo desse pagamento tive que entrar em contato com vocês e a operadora me relatou que foi um erro de sistema este mês aconteceu a mesma coisa estou sem linha telefônica e sem internet ,referente a um corte de pagamento que foi realizado no do mês 10 de 2019 .
O que me chama mais atenção ,a mais de um ano que aparentemente essa conta está aberta e só agora vocês estão reclamando . Após a claro receber o meu comprovante do pagamento referente ao ano de 2019 quero solicitar o meu cancelamento da minha conta com a claro por motivo de insatisfação "".
Segue o comprovante de pagamento"
